"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"VT",50,"Essex County",111,0,6203,3135,3068,5929,64,32,83,20,6,38767,1650,802,193,75,411,97,50,677,900,1701,603,924,1657,149,2784,4820,167,81
"VT",50,"Chittenden County",3636,78,160985,78928,82057,143657,4091,6144,3542,374,240,66906,24184,20318,11615,8789,16148,6620,36.6,20796,32947,27110,20668,32285,30864,3827,90054,148357,4783,6859
"DE",10,"Kent County",11548,187,173145,83544,89601,108627,41729,3459,11820,967,377,57647,27659,21746,8704,5272,13483,4408,37.3,24873,31121,29975,23801,33109,35761,5563,78078,145421,3270,1379
"RI",44,"Washington County",5521,122,126190,61154,65036,115206,1621,2436,3769,1047,260,77862,16334,14204,9953,9117,8510,3429,44.1,15755,20438,27238,16106,20580,30387,4142,64576,114755,3110,1725
"NH",33,"Belknap County",2496,79,60383,29705,30678,57523,285,579,951,130,65,65834,9365,8472,3886,2856,4211,1351,46.7,6834,9663,14520,6541,9882,15317,1589,30674,55288,1487,449
"RI",44,"Newport County",3578,6,83204,40952,42252,71549,2596,1670,4623,290,159,75463,12051,10443,6530,6397,10033,2525,44.6,9057,15262,18187,9040,14232,20449,2349,41471,73711,2711,2749
"VT",50,"Lamoille County",312,1,25191,12504,12687,23895,214,161,408,208,0,54899,4803,3240,1411,947,1814,720,40.5,3293,4659,5045,3317,4489,5218,526,13437,23083,906,536
"CT",9,"Tolland County",6255,125,151596,76162,75434,129519,4425,6690,7860,38,336,81312,16508,16815,10705,10850,10632,3650,37.9,21806,28436,27876,21270,26221,30288,4962,80613,137743,3821,3533
"VT",50,"Addison County",527,5,36825,18214,18611,34245,337,711,795,94,57,61875,5965,5122,2363,1251,2975,665,43.4,4747,6130,7914,4614,6228,8340,907,19872,31572,1811,1466
"VT",50,"Caledonia County",307,4,30576,15366,15210,29070,272,186,460,65,9,47371,6387,3736,1339,632,2290,645,43.7,4099,5144,6640,3647,4865,7125,741,14475,24724,1106,535
"MA",25,"Nantucket County",990,2,10912,5804,5108,8050,873,260,943,64,32,91942,936,1043,842,940,944,217,39.8,1349,2489,2154,1194,1962,2137,251,6408,9593,333,764
"MA",25,"Plymouth County",32246,1104,509114,247788,261326,416813,44804,6218,18664,502,11729,82081,57107,52356,36945,37787,30543,10878,42.6,67880,87565,100105,64428,89932,115448,16789,261653,468524,11419,3669
"MA",25,"Barnstable County",7499,303,213900,102152,111748,192917,5699,3111,5869,918,1515,68048,35223,30327,16605,12856,13302,4923,52.4,20599,29932,56397,18974,30117,68546,6012,104246,182500,6445,2562
"NH",33,"Cheshire County",1987,9,76109,37199,38910,71930,506,970,1302,125,56,60148,12742,10522,4510,2755,6420,2090,42.5,9223,13283,15797,9733,12812,17522,1883,40037,67266,3734,1329
"MA",25,"Berkshire County",4081,187,127751,61741,66010,113686,3280,2088,5461,253,323,55190,25296,16342,7880,5545,12151,3639,46.5,14410,20628,29164,14224,20783,33658,4701,63947,108956,3486,3730
"MA",25,"Franklin County",1615,95,70926,34663,36263,64668,879,1051,2669,132,73,57307,13424,9972,4213,2903,6225,2428,45.9,7878,12096,16211,7188,12202,17959,2281,36953,63710,2399,1524
"NH",33,"Grafton County",1614,10,89280,43952,45328,81439,901,2998,1984,370,29,61036,14465,11195,4681,4515,8261,2071,42.9,10856,15461,19129,10428,15594,20807,1934,45847,74492,2356,3440
"NH",33,"Carroll County",1268,4,47524,23734,23790,45668,233,279,649,37,10,58139,8991,7056,3115,2041,2861,1007,51.4,4826,6882,13283,4236,6855,13544,1146,23324,40651,1398,503
"CT",9,"Litchfield County",9191,244,184454,91198,93256,164992,2843,3516,10510,267,166,76438,23580,24136,14550,12339,12173,3724,46.9,21234,30482,42876,19746,30052,46593,6295,98166,174424,5108,2292
"VT",50,"Grand Isle County",78,0,6950,3432,3518,6479,13,33,124,50,8,66111,1016,1151,452,333,377,141,48.1,743,1079,1759,708,1133,1768,195,3766,6519,344,54
"MA",25,"Dukes County",676,0,17275,8282,8993,15021,645,53,280,271,213,67535,2264,1701,1136,1038,954,162,45.9,1872,2776,4058,1967,2850,4360,282,9172,14172,705,451
"VT",50,"Orleans County",326,5,26951,13534,13417,25734,115,90,367,146,36,45664,6122,3666,1093,617,1622,624,45.4,3145,4597,6391,3106,4242,6585,558,12227,21050,948,365
"VT",50,"Bennington County",784,3,36054,17689,18365,34160,289,140,632,31,18,52251,7287,4814,1742,1437,3098,790,46.6,4501,5503,8367,3914,5796,9381,804,17605,29009,1357,834
"NH",33,"Merrimack County",6092,92,147958,72864,75094,137801,1740,2628,2936,123,105,69856,20208,19283,10068,7688,11984,3627,42.8,18420,26705,29882,17420,26158,33722,3239,77527,136933,5037,1939
"VT",50,"Windham County",709,9,43332,21172,22160,40499,343,441,948,46,12,50831,9363,6108,2169,1419,4142,1557,46.8,4971,6949,10017,4564,7071,11203,1300,21882,34205,2578,1143
"NH",33,"Strafford County",4917,47,126552,61938,64614,115654,1041,4041,2792,59,85,67805,18218,15954,8304,6067,12256,3880,37,17019,24313,22121,17330,24318,24579,3189,69103,117598,2543,3146
"NH",33,"Sullivan County",855,8,43073,21263,21810,41105,184,266,620,145,2,59419,7505,6356,2655,1264,3484,894,46.1,4879,7332,9915,4740,7061,10794,837,21646,38503,1009,665
"RI",44,"Bristol County",3251,78,49028,23625,25403,45446,617,980,1336,16,17,74630,6692,5502,3341,3986,4271,1415,44.1,6252,7982,10127,6201,7993,12156,1105,25027,43298,1284,971
"CT",9,"Middlesex County",8497,298,164110,80227,83883,138523,8046,4780,9612,156,331,81673,20175,19256,13245,13923,12263,3720,45.1,19254,28347,35643,18163,28497,39536,4715,88344,156594,4876,2481
